anthocyanin-containing potatoes	keep
anthocyanin-enriched maize	keep
short-peptide enteral nutrition with Lactobacillus acidophilus	keep
chitin-glucan and Lactobacillus acidophilus NCFM synbiotic	keep
mixed probiotics and oligofructose	keep
probiotic combination (Saccharomyces boulardii, Lactobacillus rhamnosus, Lactobacillus acidophilus, Bifidobacterium breve with amylase)	keep
lacidophilin tablets	keep
lactic acid bacteria	Microbe
indole lactic acid producing Escherichia coli Nissle 1917	Microbe
Selenium-enriched Lactobacillus acidophilus	Microbe
protocatechuic acid sodium alginate coated Lactiplantibacillus plantarum	Microbe
