action	subject	predicate	object
rehomed_to_produces	LLM:bacillus_coagulans_mtcc5856	contains->produces	LLM:polysaccharide-degrading_enzymes
rehomed_to_produces	LLM:bifidobacterium_bifidum_h3-r2	contains->produces	LLM:acetic_acid
rehomed_to_produces	LLM:clostridium_butyricum_c1-6	contains->produces	LLM:butyric_acid
rehomed_to_produces	LLM:escherichia_coli_nissle_1917_expressing_elafin	contains->produces	LLM:elafin
rehomed_to_produces	LLM:lactobacillus_rhamnosus_1_0320	contains->produces	LLM:carboxylic_acid
rehomed_to_produces	LLM:latilactobacillus_sakei_ccfm1267	contains->produces	LLM:carbohydrate-active_enzymes
rehomed_to_produces	LLM:propionibacterium_freudenreichii_b1	contains->produces	LLM:propionic_acid
rehomed_to_produces	LLM:saccharomyces_boulardii	contains->produces	LLM:polysaccharide
rehomed_to_produces	LLM:saccharomyces_boulardii	contains->produces	LLM:polypeptide
dropped	LLM:akebia_saponin_d	CONTAINS	LLM:triterpenoid_saponin
dropped	LLM:allium_macrostemon_polysaccharide	CONTAINS	LLM:short_chain_fatty_acid
dropped	LLM:bacillus_thuringiensis_exopolysaccharide_bps-2	CONTAINS	LLM:antioxidant_compound
dropped	LLM:chrysanthemum_morifolium_polysaccharide	CONTAINS	LLM:acetic_acid
dropped	LLM:chrysanthemum_morifolium_polysaccharide	CONTAINS	LLM:butyric_acid
dropped	LLM:eurotium_cristatum_intracellular_polysaccharides	CONTAINS	LLM:short_chain_fatty_acid
dropped	LLM:fuzhuan_brick_tea_polysaccharide	CONTAINS	LLM:short_chain_fatty_acid
dropped	LLM:glehnia_littoralis_polysaccharides	CONTAINS	LLM:tryptophan_metabolite
dropped	LLM:laminaria_japonica_polysaccharide	CONTAINS	LLM:butyrate
dropped	LLM:phellinus_linteus_acidic_polysaccharide	CONTAINS	LLM:polysaccharide
dropped	LLM:sargassum_horneri_polysaccharide	CONTAINS	CHEBI:16189
dropped	LLM:sporisorium_reilianum_polysaccharides	CONTAINS	LLM:butyric_acid
dropped	LLM:tetrastigma_hemsleyanum_polysaccharides	CONTAINS	LLM:short_chain_fatty_acid
dropped	LLM:zingiber_officinale_polysaccharide	CONTAINS	LLM:short_chain_fatty_acid
dropped	LLM:carboxymethylated_beta-glucan	CONTAINS	LLM:short_chain_fatty_acid
dropped	LLM:cranberry_polyphenol	CONTAINS	LLM:5-_3_4_-dihydroxyphenyl_-gamma-valerolactone
dropped	LLM:kiwifruit_polysaccharide	CONTAINS	LLM:short_chain_fatty_acid
dropped	LLM:noni_fruit_polysaccharides	CONTAINS	LLM:homogalacturonan
dropped	LLM:noni_fruit_polysaccharides	CONTAINS	LLM:rhamnogalacturonan-i
dropped	LLM:peonidin-3-o-_3_6-o-dimalonyl-beta-d-glucoside	CONTAINS	LLM:anthocyanin
dropped	LLM:phenolic_glycosides	CONTAINS	LLM:polydatin
dropped	LLM:poly-d-3-hydroxybutyric_acid	CONTAINS	LLM:3-hydroxybutyrate
dropped	LLM:sea_buckthorn_pericarp_polysaccharide	CONTAINS	LLM:polysaccharide
dropped	LLM:sodium_butyrate	CONTAINS	LLM:butyrate
dropped	LLM:sturgeon-derived_peptide_llle	CONTAINS	LLM:indole-3-propionic_acid
dropped	LLM:oligofructose	HAS_HIGH_FODMAP_CONTENT_OF	CHEBI:24482
