subject_id	subject_type	predicate	object_id	object_type	reason
LLM:akebia_saponin_d	Bioactive	contains	LLM:triterpenoid_saponin	Bioactive	subject Bioactive not in ['Food']
LLM:allium_macrostemon_polysaccharide	Bioactive	contains	LLM:short_chain_fatty_acid	Bioactive	subject Bioactive not in ['Food']
LLM:bacillus_coagulans_mtcc5856	Microbe	contains	LLM:polysaccharide-degrading_enzymes	Bioactive	subject Microbe not in ['Food']
LLM:bacillus_thuringiensis_exopolysaccharide_bps-2	Bioactive	contains	LLM:antioxidant_compound	Bioactive	subject Bioactive not in ['Food']
LLM:bifidobacterium_bifidum_h3-r2	Microbe	contains	LLM:acetic_acid	Bioactive	subject Microbe not in ['Food']
LLM:chrysanthemum_morifolium_polysaccharide	Bioactive	contains	LLM:acetic_acid	Bioactive	subject Bioactive not in ['Food']
LLM:chrysanthemum_morifolium_polysaccharide	Bioactive	contains	LLM:butyric_acid	Bioactive	subject Bioactive not in ['Food']
LLM:clostridium_butyricum_c1-6	Microbe	contains	LLM:butyric_acid	Bioactive	subject Microbe not in ['Food']
LLM:escherichia_coli_nissle_1917_expressing_elafin	Microbe	contains	LLM:elafin	Bioactive	subject Microbe not in ['Food']
LLM:eurotium_cristatum_intracellular_polysaccharides	Bioactive	contains	LLM:short_chain_fatty_acid	Bioactive	subject Bioactive not in ['Food']
LLM:fuzhuan_brick_tea_polysaccharide	Bioactive	contains	LLM:short_chain_fatty_acid	Bioactive	subject Bioactive not in ['Food']
LLM:glehnia_littoralis_polysaccharides	Bioactive	contains	LLM:tryptophan_metabolite	Bioactive	subject Bioactive not in ['Food']
LLM:lactobacillus_rhamnosus_1_0320	Microbe	contains	LLM:carboxylic_acid	Bioactive	subject Microbe not in ['Food']
LLM:laminaria_japonica_polysaccharide	Bioactive	contains	LLM:butyrate	Bioactive	subject Bioactive not in ['Food']
LLM:latilactobacillus_sakei_ccfm1267	Microbe	contains	LLM:carbohydrate-active_enzymes	Bioactive	subject Microbe not in ['Food']
LLM:phellinus_linteus_acidic_polysaccharide	Bioactive	contains	LLM:polysaccharide	Bioactive	subject Bioactive not in ['Food']
LLM:propionibacterium_freudenreichii_b1	Microbe	contains	LLM:propionic_acid	Bioactive	subject Microbe not in ['Food']
LLM:saccharomyces_boulardii	Microbe	contains	LLM:polysaccharide	Bioactive	subject Microbe not in ['Food']
LLM:saccharomyces_boulardii	Microbe	contains	LLM:polypeptide	Bioactive	subject Microbe not in ['Food']
LLM:sargassum_horneri_polysaccharide	Bioactive	contains	CHEBI:16189	Bioactive	subject Bioactive not in ['Food']
LLM:sporisorium_reilianum_polysaccharides	Bioactive	contains	LLM:butyric_acid	Bioactive	subject Bioactive not in ['Food']
LLM:tetrastigma_hemsleyanum_polysaccharides	Bioactive	contains	LLM:short_chain_fatty_acid	Bioactive	subject Bioactive not in ['Food']
LLM:zingiber_officinale_polysaccharide	Bioactive	contains	LLM:short_chain_fatty_acid	Bioactive	subject Bioactive not in ['Food']
LLM:carboxymethylated_beta-glucan	Bioactive	contains	LLM:short_chain_fatty_acid	Bioactive	subject Bioactive not in ['Food']
LLM:cranberry_polyphenol	Bioactive	contains	LLM:5-_3_4_-dihydroxyphenyl_-gamma-valerolactone	Bioactive	subject Bioactive not in ['Food']
LLM:kiwifruit_polysaccharide	Bioactive	contains	LLM:short_chain_fatty_acid	Bioactive	subject Bioactive not in ['Food']
LLM:noni_fruit_polysaccharides	Bioactive	contains	LLM:homogalacturonan	Bioactive	subject Bioactive not in ['Food']
LLM:noni_fruit_polysaccharides	Bioactive	contains	LLM:rhamnogalacturonan-i	Bioactive	subject Bioactive not in ['Food']
LLM:peonidin-3-o-_3_6-o-dimalonyl-beta-d-glucoside	Bioactive	contains	LLM:anthocyanin	Bioactive	subject Bioactive not in ['Food']
LLM:phenolic_glycosides	Bioactive	contains	LLM:polydatin	Bioactive	subject Bioactive not in ['Food']
LLM:poly-d-3-hydroxybutyric_acid	Bioactive	contains	LLM:3-hydroxybutyrate	Bioactive	subject Bioactive not in ['Food']
LLM:sea_buckthorn_pericarp_polysaccharide	Bioactive	contains	LLM:polysaccharide	Bioactive	subject Bioactive not in ['Food']
LLM:sodium_butyrate	Bioactive	contains	LLM:butyrate	Bioactive	subject Bioactive not in ['Food']
LLM:sturgeon-derived_peptide_llle	Bioactive	contains	LLM:indole-3-propionic_acid	Bioactive	subject Bioactive not in ['Food']
LLM:oligofructose	Bioactive	has_high_fodmap_content_of	CHEBI:24482	Bioactive	subject Bioactive not in ['Food']
