pathway_id	pathway_label	priority	rationale
map00650	Butanoate metabolism	high	Butyrate/SCFA production - central to gut barrier
map00640	Propanoate metabolism	high	Propionate/SCFA - anti-inflammatory
map00120	Primary bile acid biosynthesis	high	Bile acid signaling
map00121	Secondary bile acid biosynthesis	high	Microbial bile acid transformation
map00380	Tryptophan metabolism	high	Indole metabolites, AhR signaling, indole-3-acetate
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	high	Aromatic AA microbial production
map00920	Sulfur metabolism	high	H2S production by sulfate-reducing bacteria
map00540	Lipopolysaccharide biosynthesis	high	LPS - endotoxin trigger of inflammation
map00500	Starch and sucrose metabolism	high	Dietary fiber fermentation
map00010	Glycolysis / Gluconeogenesis	medium	Basic energy metabolism
map02060	Phosphotransferase system (PTS)	medium	Sugar uptake by gut bacteria
map00565	Ether lipid metabolism	medium	Membrane lipids
map00472	D-Arginine and D-ornithine metabolism	medium	Microbial-specific
map00471	D-Glutamine and D-glutamate metabolism	medium	Microbial-specific
map00410	beta-Alanine metabolism	medium	Bacterial pathway
